X,Y,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,LAND_AREA,TOTAL_AREA
317673.341341123,239983.693194378,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02069","268088",Kilmore A,0.7746670000,0.7746670000
318455.694468361,239745.06717963,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02070","268089",Kilmore B,0.4794240000,0.4794240000
319436.003679686,239681.131235039,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02071","268086",Kilmore C,0.5310500000,0.5310500000
319308.514507799,239285.528044325,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02072","268087",Kilmore D,0.5200990000,0.5200990000
316456.470804572,235086.137794574,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02073","268104",Mountjoy A,0.2991080000,0.2991080000
316165.228701323,235493.483673099,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02074","268105",Mountjoy B,0.2237360000,0.2237360000
315781.133907142,234592.238927662,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02075","268106",North City,0.5362990000,0.5635830000
317237.488566998,235616.169968173,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02076","268107",North Dock A,0.1372250000,0.1430890000
318665.491098277,234911.540954001,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02077","268108",North Dock B,3.2280920000,3.4664140000
316869.036865737,234799.867408849,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02078","268109",North Dock C,0.5217950000,0.6065020000
311368.884481067,235379.7041531,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02079","268118",Phoenix Park,7.2499130000,7.3772230000
318551.610974798,240885.578065249,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02080","268121",Priorswood A,1.7366440000,1.7366440000
319810.291994596,240774.48758442,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02081","268122",Priorswood B,0.4609560000,0.4609560000
320570.190577735,240703.268980296,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02082","268119",Priorswood C,0.8895940000,0.8895940000
319954.201368763,240001.916839553,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02083","268120",Priorswood D,0.7858500000,0.7858500000
319055.82710715,240372.534257453,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02084","268123",Priorswood E,0.4085760000,0.4085760000
314874.466534759,237365.437239356,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02027","268027",Botanic A,1.3157360000,1.3157360000
315667.28857466,236690.563269884,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02028","268028",Botanic B,0.4939660000,0.4939660000
315572.004330629,236275.917139978,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02029","268029",Botanic C,0.2993200000,0.2993200000
314270.970047215,236815.353230428,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02030","268030",Cabra East A,1.4091090000,1.4091090000
314128.828249092,236215.585868837,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02031","268031",Cabra East B,0.4661590000,0.4661590000
313957.092598242,235597.942759482,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02032","268032",Cabra East C,0.4567330000,0.4567330000
312917.327892743,237207.401187158,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02033","268033",Cabra West A,0.4466100000,0.4466100000
313554.460879149,236796.465875712,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02034","268034",Cabra West B,0.4534440000,0.4534440000
313345.929930618,236242.579480236,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02035","268035",Cabra West C,0.5738560000,0.5738560000
313176.555600306,235629.633131118,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02036","268036",Cabra West D,0.6009030000,0.6009030000
314315.162069048,231129.485111569,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02148","268144",Terenure A,0.5409880000,0.5409880000
