,Course Code,Course Name 2019,EOS 2019,Mid 2019,Institution,Test 2019,NotAll 2019,Matric 2019,AQA 2019,Level8 2019
257,DC232,Law and Society (BCL),453.0,487.0,Dublin City University,False,False,False,False,True
258,DC235,Education and Training - Daytime Delivery Mode (full-time),307.0,327.0,Dublin City University,False,False,False,False,True
259,DC238,Social Sciences and Cultural Innovation,358.0,388.0,Dublin City University,False,False,False,False,True
260,DC240,"Marketing, Innovation and Technology",451.0,474.0,Dublin City University,False,False,False,False,True
261,DC291,Arts (Joint Honours) - Media Studies,349.0,392.0,Dublin City University,False,False,False,False,True
262,DC292,Arts (Joint Honours) - Law,356.0,388.0,Dublin City University,False,False,False,False,True
263,DC293,Arts (Joint Honours) - International Languages,369.0,400.0,Dublin City University,False,False,False,False,True
264,DC295,Arts (Joint Honours) - Politics,348.0,387.0,Dublin City University,False,False,False,False,True
265,DT001,Product Design,433.0,464.0,Technological University Dublin City Campus,False,False,False,False,True
266,DT028,Transport Operations and Technology,279.0,348.0,Technological University Dublin City Campus,False,False,False,False,True
267,DT035,Electrical Services and Energy Management,293.0,340.0,Technological University Dublin City Campus,False,False,False,False,True
268,DT066,Engineering (General Entry),400.0,457.0,Technological University Dublin City Campus,False,False,False,False,True
269,DT101,Architecture (test and interview),618.0,647.0,Technological University Dublin City Campus,True,False,False,False,True
270,DT106,Planning and Environmental Management,312.0,337.0,Technological University Dublin City Campus,False,False,False,False,True
271,DT110,Property Economics (Valuation Surveying),367.0,424.0,Technological University Dublin City Campus,False,False,False,False,True
272,DT111,Quantity Surveying and Construction Economics,391.0,421.0,Technological University Dublin City Campus,False,False,False,False,True
273,DT112,Geographic Science,287.0,335.0,Technological University Dublin City Campus,False,False,False,False,True
274,DT117,Construction Management,356.0,373.0,Technological University Dublin City Campus,False,False,False,False,True
275,DT175,Architectural Technology,388.0,425.0,Technological University Dublin City Campus,False,False,False,False,True
276,DT201,Science (General Entry),464.0,477.0,Technological University Dublin City Campus,False,False,False,False,True
277,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341.0,403.0,Technological University Dublin City Campus,False,False,False,False,True
278,DT204,Biomedical Science,501.0,512.0,Technological University Dublin City Campus,False,False,False,False,True
